ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,311.0647532422,69.25299355489439,255.07574942622816,311.0647532422,311.0647532422,-145.1124467108507,-145.1124467108507,-145.1124467108507,5.971834002927463,5.971834002927463,5.971834002927463,-151.08428071377816,-151.08428071377816,-151.08428071377816,0.0,0.0,0.0,165.95230653134934
2024-01-02,311.06530244496696,73.59163738575134,255.28108701501662,311.06530244496696,311.06530244496696,-144.99217625363968,-144.99217625363968,-144.99217625363968,3.4671185824412514,3.4671185824412514,3.4671185824412514,-148.45929483608091,-148.45929483608091,-148.45929483608091,0.0,0.0,0.0,166.07312619132728
2024-01-03,311.06585164773384,73.28686765375976,252.34117113092918,311.06585164773384,311.06585164773384,-149.09660738904827,-149.09660738904827,-149.09660738904827,-3.7159393420200213,-3.7159393420200213,-3.7159393420200213,-145.38066804702825,-145.38066804702825,-145.38066804702825,0.0,0.0,0.0,161.96924425868556
2024-01-04,311.06640085050077,84.80903003647036,258.6179358631862,311.06640085050077,311.06640085050077,-141.3156009446015,-141.3156009446015,-141.3156009446015,0.644912581889546,0.644912581889546,0.644912581889546,-141.96051352649104,-141.96051352649104,-141.96051352649104,0.0,0.0,0.0,169.75079990589927
2024-01-05,311.06695005326765,78.39011845244937,261.8421681423959,311.06695005326765,311.06695005326765,-144.30709340849762,-144.30709340849762,-144.30709340849762,-5.987636346703039,-5.987636346703039,-5.987636346703039,-138.31945706179457,-138.31945706179457,-138.31945706179457,0.0,0.0,0.0,166.75985664477003
2024-01-06,311.06749925603464,82.75783014686728,270.9508271861633,311.06749925603464,311.06749925603464,-132.18894257937822,-132.18894257937822,-132.18894257937822,2.3937613410010257,2.3937613410010257,2.3937613410010257,-134.58270392037923,-134.58270392037923,-134.58270392037923,0.0,0.0,0.0,178.87855667665642
2024-01-07,311.0680484588015,87.95912382263889,269.4769846009924,311.0680484588015,311.0680484588015,-133.65005233875524,-133.65005233875524,-133.65005233875524,-2.7740508194799576,-2.7740508194799576,-2.7740508194799576,-130.87600151927526,-130.87600151927526,-130.87600151927526,0.0,0.0,0.0,177.41799612004627
2024-01-08,311.06859766156845,96.08076314186465,274.7233998151713,311.06859766156845,311.06859766156845,-121.34979017766852,-121.34979017766852,-121.34979017766852,5.9718340029132895,5.9718340029132895,5.9718340029132895,-127.32162418058182,-127.32162418058182,-127.32162418058182,0.0,0.0,0.0,189.71880748389992
2024-01-09,311.0691468643354,97.0675303240658,282.13690047774077,311.0691468643354,311.0691468643354,-120.56738630024019,-120.56738630024019,-120.56738630024019,3.4671185824452344,3.4671185824452344,3.4671185824452344,-124.03450488268544,-124.03450488268544,-124.03450488268544,0.0,0.0,0.0,190.5017605640952
2024-01-10,311.06969606710226,92.42010876824193,276.86014923636725,311.06969606710226,311.06969606710226,-124.83457306702103,-124.83457306702103,-124.83457306702103,-3.715939342056415,-3.715939342056415,-3.715939342056415,-121.1186337249646,-121.1186337249646,-121.1186337249646,0.0,0.0,0.0,186.23512300008122
2024-01-11,311.0702452698692,104.24254276089925,291.2453602762743,311.0702452698692,311.0702452698692,-118.01892141465325,-118.01892141465325,-118.01892141465325,0.6449125818762923,0.6449125818762923,0.6449125818762923,-118.66383399652956,-118.66383399652956,-118.66383399652956,0.0,0.0,0.0,193.05132385521594
2024-01-12,311.0707944726361,98.39118844424614,281.2376636414948,311.0707944726361,311.0707944726361,-122.73065089978155,-122.73065089978155,-122.73065089978155,-5.987636346698696,-5.987636346698696,-5.987636346698696,-116.74301455308284,-116.74301455308284,-116.74301455308284,0.0,0.0,0.0,188.34014357285457
2024-01-13,311.07134367540306,105.91796025108181,289.4160557983301,311.07134367540306,311.07134367540306,-113.01622070400134,-113.01622070400134,-113.01622070400134,2.3937613409979726,2.3937613409979726,2.3937613409979726,-115.40998204499932,-115.40998204499932,-115.40998204499932,0.0,0.0,0.0,198.05512297140172
